ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
91,CSU,gio,17,1.0,test,Training - fixed,LEFT,CB  F 1,2023-11-13 00:39:24.776854,Experiment_2023-11-13T00:39:24.776854_gio_1.0_Training - fixed.log
92,CSU,dusty,18,1.0,test,Training - fixed,RIGHT,CB F 1 ,2023-11-13 01:06:46.118598,Experiment_2023-11-13T01:06:46.118598_dusty_1.0_Training - fixed.log
93,CSU,freya,19,,test,Training - fixed,LEFT,CB F 1,2023-11-13 01:52:41.875007,Experiment_2023-11-13T01:52:41.875007_freya_nan_Training - fixed.log
94,CSU,pumba,21,,test,Training - fixed,LEFT,CB F 1,2023-11-13 03:05:04.626964,Experiment_2023-11-13T03:05:04.626964_pumba_nan_Training - fixed.log
95,CSU,clover,22,,test,Training - fixed,RIGHT,CB F 1,2023-11-13 04:02:49.575872,Experiment_2023-11-13T04:02:49.575872_clover_nan_Training - fixed.log
96,CSU,jelly,11,2.0,test,Training - fixed,LEFT,CB F 2,2023-11-13 04:50:56.054932,Experiment_2023-11-13T04:50:56.054932_jelly_2.0_Training - fixed.log
97,CSU,smudge,12,2.0,test,Training - fixed,RIGHT,CB F 2 Poss= Right ,2023-11-13 05:23:15.688175,Experiment_2023-11-13T05:23:15.688175_smudge_2.0_Training - fixed.log
98,CSU,george,13,2.0,test,Training - fixed,LEFT,CB F-2 Poss = LEFT,2023-11-13 06:05:07.391993,Experiment_2023-11-13T06:05:07.391993_george_2.0_Training - fixed.log
99,CSU,myrtle,14,2.0,test,Training - fixed,RIGHT,CB F 2- Poss = RIGHT,2023-11-13 06:36:50.258957,Experiment_2023-11-13T06:36:50.258957_myrtle_2.0_Training - fixed.log
100,CSU,yoshi,15,2.0,test,Training - fixed,LEFT,CB F -2 Pos = LEFT,2023-11-13 07:17:20.615404,Experiment_2023-11-13T07:17:20.615404_yoshi_2.0_Training - fixed.log
101,CSU,nix,16,2.0,test,Training - fixed,RIGHT,CB-F 2 Pos = RIGHT,2023-11-13 07:47:14.435782,Experiment_2023-11-13T07:47:14.435782_nix_2.0_Training - fixed.log
102,CSU,gio,17,2.0,test,Training - fixed,LEFT,CB F 2 Pos = LEFT,2023-11-13 08:28:59.797750,Experiment_2023-11-13T08:28:59.797750_gio_2.0_Training - fixed.log
103,CSU,dusty,18,2.0,test,Training - fixed,RIGHT,CB F 2 Pos = RIGHT,2023-11-13 10:22:11.789817,Experiment_2023-11-13T10:22:11.789817_dusty_2.0_Training - fixed.log
104,CSU,freya,19,,test,Training - fixed,LEFT,CB F 2 Pos = lEFT,2023-11-13 10:57:03.527161,Experiment_2023-11-13T10:57:03.527161_freya_nan_Training - fixed.log
105,CSU,pumba,21,,test,Training - fixed,LEFT,CB F 2 Poss = LEFT,2023-11-13 12:06:45.400077,Experiment_2023-11-13T12:06:45.400077_pumba_nan_Training - fixed.log
106,CSU,clover,22,,test,Training - fixed,RIGHT,CB F 2 restart at trial 5 Pos + Right,2023-11-13 13:01:26.435669,Experiment_2023-11-13T13:01:26.435669_clover_nan_Training - fixed.log
107,CSU,jelly,11,3.0,test,Training - fixed,LEFT,CB F 3- Pos = LEFT,2023-11-13 13:32:28.364484,Experiment_2023-11-13T13:32:28.364484_jelly_3.0_Training - fixed.log
108,CSU,smudge,12,3.0,test,Training - fixed,RIGHT,CB F 3 Pos = RIGHT,2023-11-13 14:11:10.054657,Experiment_2023-11-13T14:11:10.054657_smudge_3.0_Training - fixed.log
109,CSU,george,13,3.0,test,Training randomised Type 1,LEFT,CB R 1 Pos + LEFT,2023-11-13 14:49:56.787891,Experiment_2023-11-13T14:49:56.787891_george_3.0_Training randomised Type 1.log
110,CSU,myrtle,14,3.0,test,Training randomised Type 1,RIGHT,CB R ! Pos = RIGHT,2023-11-13 15:16:40.151932,Experiment_2023-11-13T15:16:40.151932_myrtle_3.0_Training randomised Type 1.log
111,CSU,yoshi,15,3.0,test,Training randomised Type 1,LEFT,CB R 1 Pos = LEFT,2023-11-13 16:03:04.381618,Experiment_2023-11-13T16:03:04.381618_yoshi_3.0_Training randomised Type 1.log
112,CSU,nix,16,3.0,test,Training randomised Type 1,RIGHT,CB R 1 Pos = RIGHT ,2023-11-13 16:34:23.409480,Experiment_2023-11-13T16:34:23.409480_nix_3.0_Training randomised Type 1.log
113,CSU,gio,17,3.0,test,Training randomised Type 1,LEFT,CB R 1 Pos + LEFT,2023-11-13 17:24:29.152222,Experiment_2023-11-13T17:24:29.152222_gio_3.0_Training randomised Type 1.log
114,CSU,dusty,18,3.0,test,Training randomised Type 1,RIGHT,CB R 1 Pos = RIGHT,2023-11-13 18:03:46.698927,Experiment_2023-11-13T18:03:46.698927_dusty_3.0_Training randomised Type 1.log
115,CSU,freya,19,,test,Training randomised Type 1,LEFT,CB R 1 Poss = LEFT  ,2023-11-13 19:19:51.364628,Experiment_2023-11-13T19:19:51.364628_freya_nan_Training randomised Type 1.log
